"id","name","slug","created_at","updated_at","deleted_at","cityId","latitude","longitude"
234,"Erdek","erdek","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
235,"Gömeç","gomec","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
236,"Gönen","gonen","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
237,"Havran","havran","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
238,"İvrindi","ivrindi","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
239,"Karesi","karesi","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
240,"Kepsut","kepsut","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
241,"Manyas","manyas","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
242,"Marmara","marmara","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
243,"Savaştepe","savastepe","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
244,"Sındırgı","sindirgi","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
245,"Susurluk","susurluk","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
246,"Amasra","amasra","2018-05-28 11:46:58","2018-05-28 11:46:58",,16,,
247,"Kurucaşile","kurucasile","2018-05-28 11:46:58","2018-05-28 11:46:58",,16,,
248,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,16,,
249,"Ulus","ulus","2018-05-28 11:46:58","2018-05-28 11:46:58",,16,,
250,"Beşiri","besiri","2018-05-28 11:46:58","2018-05-28 11:46:58",,17,,
251,"Gercüş","gercus","2018-05-28 11:46:58","2018-05-28 11:46:58",,17,,
252,"Hasankeyf","hasankeyf","2018-05-28 11:46:58","2018-05-28 11:46:58",,17,,
253,"Kozluk","kozluk","2018-05-28 11:46:58","2018-05-28 11:46:58",,17,,
254,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,17,,
255,"Sason","sason","2018-05-28 11:46:58","2018-05-28 11:46:58",,17,,
256,"Aydıntepe","aydintepe","2018-05-28 11:46:58","2018-05-28 11:46:58",,18,,
257,"Demirözü","demirozu","2018-05-28 11:46:58","2018-05-28 11:46:58",,18,,
258,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,18,,
259,"Bozüyük","bozuyuk","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
260,"Gölpazarı","golpazari","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
261,"İnhisar","inhisar","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
262,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
263,"Osmaneli","osmaneli","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
264,"Pazaryeri","pazaryeri","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
265,"Söğüt","sogut","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
266,"Yenipazar","yenipazar","2018-05-28 11:46:58","2018-05-28 11:46:58",,19,,
